Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",1613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",789570
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",789019
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",912595
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",1103982
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",865752
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",68505
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",1408198
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",1623613
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1021860
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California",906709
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1002047
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Hoboken, New Jersey",814453
NEM,Newmont Goldcorp,Materials,Gold,"Denver, Colorado",1164727
NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York",1564708
NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York",1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",1492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",1111711
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1513761
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",1045810
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",797468
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",29989
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",1341439
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",75362
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",75677
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",76334
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",1633917
PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",77476
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",78003
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1038357
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",713676
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",79879
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",788784
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",78239
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",1604778
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",804328
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",1022079
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1037038
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",720005
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1047122
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",726728
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",910606
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",872589
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",1281761
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1060391
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",943819
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1024478
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",84839
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887
CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",1108524
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",1034054
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",87347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",89800
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",4127
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",1040971
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",91440
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",92380
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",64040
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",93556
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",829224
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",93751
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",750556
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",719739
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",849399
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",1601712
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",883241
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",96021
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1113169
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",946581
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1116132
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",1385157
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",1681459
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",96943
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",98246
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",1418091
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198
TSS,Total System Services,Information Technology,Data Processing & Outsourced Services,"Columbus, Georgia",721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",86312
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Newton, Massachusetts",1526520
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",74208
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1403568
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36104
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917
UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",100885
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",5513
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",203527
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",740260
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",875320
VIAB,Viacom Inc.,Communication Services,Movies & Entertainment,"New York, New York",1339947
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1403161
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1396009
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",943452
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1618921
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1001039
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",823768
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1000697
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",783325
WCG,WellCare,Health Care,Managed Health Care,"Tampa, Florida",1279363
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",72971
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",766704
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",106040
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",1365135
WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",1636023
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",106640
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1140536
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",72903
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",108772
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",743988
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",1524472
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",1136869
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",1555280
